code,smile,id
vat-d465,OC(=O)C=1C=CC=2NC(=O)CSC2C1,465
vat-d466,NC(=N)C=1C=CC=2C=CC=CC2C1,466
vat-d467,OCC=1C=CC(Br)=CC1,467
vat-d468,NC(=O)C=1C=C(Cl)C=CC1N,468
vat-d469,CC=1C=CC(N)=C(C1)C(=O)O,469
vat-d471,NC=1C=CC(=CC1O)C(=O)O,471
vat-d473,CC1(C)CNCC=2C=CC=CC21,473
vat-d474,OCCC=1C=CC(F)=CC1,474
vat-d475,OC(=O)C=1C=NC=CN1,475
vat-d476,OC(=O)C1=CC=CO1,476
vat-d478,OC(=O)CC1=CC=CS1,478
vat-d479,OC(=O)C=1C=CC=C(N1)C(=O)O,479
vat-d481,O=C1NC=2C=CC=C3C=CC=C1C23,481
vat-d482,OC=1C=CC(C#N)=C(F)C1,482
vat-d483,OC(=O)C1=COC=2CCCC(=O)C12,483
vat-d484,NC=1N=CC=C2C=CC=CC12,484
vat-d485,OC(=O)CCC1=NC=2C=C(Cl)C=CC2S1,485
vat-d486,OCCOC=1C=CC=CC1,486
vat-d487,CC=1C=CC(=CC1)S(=O)(=O)N,487
vat-d488,NC=1C(F)=CC=CC1C(=O)O,488
vat-d489,OC(=O)C1=CC=2OC=CC2N1,489
vat-d490,BrC=1C=CC=2NC(=O)CNC2C1,490
vat-d491,CN1N=CC(C(=O)O)=C1C=2C=CC=CC2,491
vat-d492,NC=1C=CC=CC1CO,492
vat-d493,NC=1C=CC(=CC1O)C(=O)O,493
vat-d494,NC=1C=NC=2C=CC=CC2C1,494
vat-d495,CC1(C)CNCC=2C=CC=CC21,495
vat-d496,OCCC=1C=CC(F)=CC1,496
vat-d497,CCN1CCC=2C(N)=CC=CC2C1,497
vat-d498,OC(=O)CCC1CCCCC1,498
vat-d499,NC=1C=CC=2C=CC=CC2N1,499
vat-d500,NC1=NC=2C=C(Cl)C=CC2O1,500
vat-d501,CC1=NC=2C=CC=CC2N1,501
vat-d502,OC(=O)CCC1=NC=2C=CC=CC2N1,502
vat-d503,OC=1C=CC=2C=CC(=O)OC2C1,503
vat-d504,NC1(CCCC1)C(=O)O,504
vat-d505,OC(=O)C=1C=NC=CN1,505
vat-d506,OC(=O)C1=CC=CO1,506
vat-d507,COC=1C=CC(=CC1OC)C(=O)O,507
vat-d508,OC(=O)CC1=CC=CS1,508
vat-d509,CN1CC=2C=CC=CC2NC1=O,509
vat-d510,NC(=O)CN1CCCC1=O,510
vat-d511,OC(=O)C=1C=CC=C(N1)C(=O)O,511
vat-d512,NS(=O)(=O)C=1C=CC(F)=CC1,512
vat-d513,CC=1C=CC(N)=CC1,513
vat-d514,NC1=NNC=2C=CC=CC12,514
vat-d515,CN(C)C=1C=CC(=CN1)C(=O)O,515
vat-d516,OC(=O)C=1C=CC=CC1C(=O)C=2C=CC(F)=CC2,516
vat-d517,CCCC=1C=CC(=CC1)S(=O)(=O)N,517
vat-d518,NS(=O)(=O)N1CCCCC1,518
vat-d519,OCC1=NC=2C=CC=CC2N1,519
vat-d520,OCC=1C=CC=C2OCCOC12,520
