sample,SMILES_string,Number of molecules,# O atoms,# Cl atoms,# S atoms,# P atoms,# Br atoms,# I atoms,DK hit?,HG hit?,Use
103,['c1cocc1C[NH2+]C[C@H]2CCCO2'],1,2,0,0,0,0,0,0,0,0
104,['c1cc(c(cc1n2cc(nn2)CO)Cl)Cl'],1,1,2,0,0,0,0,0,0,0
105,['c1cnc(nc1)Oc2ccc(cc2)c3cc[nH]n3'],1,1,0,0,0,0,0,1,0,0
106,['Cc1nc(no1)c2ccccc2'],1,1,0,0,0,0,0,0,0,0
107,['c1cc(sc1)CNc2ccc(cc2)O'],1,1,0,1,0,0,0,0,0,0
108,['CN(C)C(=O)Nc1ccc(cc1)S(=O)(=O)N'],1,3,0,1,0,0,0,0,0,0
109,['COc1ccc(cc1)[C@H]2C=C(NC(=O)N2)C(=O)[O-]'],1,4,0,0,0,0,0,0,0,0
110,['CCOC(=O)C[NH+]1CCCCC1'],1,2,0,0,0,0,0,0,0,0
111,['CC[C@H](C)c1ccc(cc1)NS(=O)(=O)C'],1,2,0,1,0,0,0,1,0,1
112,['c1cc(sc1)c2[nH]ccn2'],1,0,0,1,0,0,0,1,0,1
113,['COc1cc(ccc1N)N2CCOCC2'],1,2,0,0,0,0,0,0,0,0
114,['CC[NH+]1CCCCC1'],1,0,0,0,0,0,0,0,0,0
115,['CC(=O)Nc1nnc(s1)COC'],1,2,0,1,0,0,0,0,0,0
116,['CCNC(=O)Nc1cc(on1)C'],1,2,0,0,0,0,0,1,0,0
117,['CC(C)(C)OC(=O)N1CC[NH+](CC1)CCO'],1,3,0,0,0,0,0,0,0,0
118,['CN(C)c1cc[nH+]cc1'],1,0,0,0,0,0,0,1,0,0
119,['Cc1c([nH]c2c1cc(cc2)F)C'],1,0,0,0,0,0,0,0,0,0
120,['c1cc(ccc1NC(=O)C2CCC2)n3cnnn3'],1,1,0,0,0,0,0,0,0,0
121,['COc1ccc(cc1)Cl'],1,1,1,0,0,0,0,0,0,0
